fiscal_year,data_from_table,released_on,updated_on,data_source,data_url,metric,value_inr_crore
2021-22,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,net_inflow_private_sector,148286.86
2021-22,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,net_inflow_public_sector,98442.7
2021-22,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,net_inflow_total,246729.56
2021-22,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,assets_at_the_end_of_period,3756683.59
2022-23,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,gross_mobilisation_private_sector,7754925.506399073
2022-23,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,gross_mobilisation_public_sector,2752441.561675676
2022-23,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,gross_mobilisation_total,10507367.068074748
2022-23,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,redemption_private_sector,7738932.52290122
2022-23,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,redemption_public_sector,2692199.1116188546
2022-23,Table 58 Category-wise Resource Mobilisation by Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,redemption_total,10431131.634520074
