fiscal_year,month,month_numeric,data_from_table,bse_advances,bse_declines,bse_advance_decline_ratio,nse_advances,nse_declines,nse_advance_decline_ratio,msei_advances,msei_declines,msei_advance_decline_ratio,released_on,updated_on,data_source,data_url
2023-24,September,9,Table 25: Advances/Declines in Equity Cash Segment,2752,1229,2.2392188771358827,1798,645,2.79,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 25: Advances/Declines in Equity Cash Segment,1969,2034,0.9680432645034415,1117,1366,0.82,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 25: Advances/Declines in Equity Cash Segment,2337,1667,1.4019196160767846,1614,926,1.74,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 25: Advances/Declines in Equity Cash Segment,2878,1154,2.4939341421143846,1941,612,3.17,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 25: Advances/Declines in Equity Cash Segment,3116,970,3.2123711340206187,1968,635,3.1,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 25: Advances/Declines in Equity Cash Segment,2315,1762,1.3138479001135073,1461,1170,1.25,0,1,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 25: Advances/Declines in Equity Cash Segment,954,3132,0.3045977011494253,738,1913,0.39,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 25: Advances/Declines in Equity Cash Segment,2840,1246,2.279293739967897,2081,608,3.42,1,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 25: Advances/Declines in Equity Cash Segment,1955,2146,0.9109972041006523,1388,1330,1.04,,1,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 25: Advances/Declines in Equity Cash Segment,2343,1785,1.3126050420168067,1939,1082,1.79,1,1,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 25: Advances/Declines in Equity Cash Segment,2975,1175,2.5319148936170213,2322,746,3.11,2,1,2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 25: Advances/Declines in Equity Cash Segment,2177,1986,1.096173212487412,1610,1453,1.11,0,2,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 25: Advances/Declines in Equity Cash Segment,2422,1763,1.37379466817924,1965,1161,1.69,1,1,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 25: Advances/Declines in Equity Cash Segment,1389,2799,0.4962486602357985,1091,2097,0.5202670481640439,0,1,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 25: Advances/Declines in Equity Cash Segment,1633,2561,0.6376415462709879,1130,2055,0.5498783454987834,1,1,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 25: Advances/Declines in Equity Cash Segment,2631,1573,1.6726001271455817,2053,1130,1.8168141592920355,1,4,0.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 25: Advances/Declines in Equity Cash Segment,884,3333,0.2652265226522652,811,2416,0.3356788079470199,2,4,0.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 25: Advances/Declines in Equity Cash Segment,628,3622,0.17338487023743787,705,2540,0.27755905511811024,1,1,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 25: Advances/Declines in Equity Cash Segment,837,3428,0.24416569428238039,921,2334,0.39460154241645246,1,2,0.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
