fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_gross_purchase_inr_crore,equity_gross_sales_inr_crore,equity_net_purchase_sales_inr_crore,debt_gross_purchase_inr_crore,debt_gross_sales_inr_crore,debt_net_purchase_sales_inr_crore,total_gross_purchase_inr_crore,total_gross_sales_inr_crore,total_net_purchase_sales_inr_crore
2016-17,2017,February,2,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-02-14,37473.3,35433.6,2039.7000000000044,119054.5,80224.9,38829.600000000006,156527.8,115658.5,40869.30000000001
2016-17,2017,March,3,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-03-14,47232.91,43041.36,4191.550000000003,166040.4,131146.31,34894.09,213273.31,174187.66999999998,39085.64
2017-18,2017,April,4,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-04-04,42813.5,31569.25,11244.25,134337.1,78404.21,55932.89,177150.6,109973.46,67177.14
2017-18,2017,May,5,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-05-04,51059.27,41701.6,9357.67,156917.4,147403.03,9514.37,207976.66999999998,189104.63,18872.04
2017-18,2017,June,6,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-06-04,42822.77,33716.66,9106.11,147545.01,134927.1,12617.91,190367.78,168643.76,21724.02
2017-18,2017,July,7,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-07-04,50268.51,38468.66,11799.85,142148.53,101761.03,40387.5,192417.04,140229.69,52187.35
2017-18,2017,August,8,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-08-04,50272.8,32331.69,17941.11,137926.77,101459.95,36466.82,188199.57,133791.63999999998,54407.93
2017-18,2017,September,9,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-09-04,52152.77,34695.93,17456.84,149222.98,117367.74,31855.24,201375.75,152063.67,49312.08
2017-18,2017,October,10,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-10-01,50608.88,40618.38,9990.5,119505.65,90417.16,29088.49,170114.53,131035.54000000001,39078.990000000005
2017-18,2017,November,11,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-11-01,65075.86,52995.76,12080.1,150135.02,108156.65,41978.37,215210.88,161152.41,54058.47
2017-18,2017,December,12,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-12-01,61181.32,52848.02,8333.3,160646.16,141648.61,18997.55,221827.48,194496.62999999998,27330.85
2017-18,2018,January,1,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-01-14,74885.65,65862.49,9023.16,150207.95,127967.65,22240.3,225093.6,193830.14,31263.46
2017-18,2018,February,2,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-02-14,63285.27,47104.39,16180.88,139905.29,106246.22,33659.07,203190.56,153350.61,49839.95
