fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,total_value_pns_equity_debt_including_derivatives_crore,total_value_pns_equity_debt_excluding_derivatives_crore,assets_under_custody_fpis_deemed_fpis_crore,pns_including_derivatives_pct_of_assets_under_custody,pns_excluding_derivatives_pct_of_assets_under_custody
2016-17,2017,February,2,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-02-01,170191,115413,2563431,6.6,4.5
2016-17,2017,March,3,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-03-01,178437,124277,2705729,6.6,4.6
2017-18,2017,April,4,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-04-01,168545,128380,2786083,6,4.6
2017-18,2017,May,5,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-05-01,180718,133045,2856637,6.3,4.7
2017-18,2017,June,6,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-06-01,165241,132785,2883104,5.7,4.6
2017-18,2017,July,7,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-07-01,135297,127075,3055984,4.4,4.2
2017-18,2017,August,8,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-08-01,125037,116393,3035509,4.1,3.8
2017-18,2017,September,9,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-09-01,122684,113706,3003476,4.1,3.8
2017-18,2017,October,10,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-10-01,131006,120629,3170194,4.1,3.8
2017-18,2017,November,11,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-11-01,128639,123567,3188354,4,3.9
2017-18,2017,December,12,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-12-01,124810,121820,3280283,3.8,3.7
2017-18,2018,January,1,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-01-01,119556,116472,3381677,3.5,3.4
2017-18,2018,February,2,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-02-01,106760,105137,3241324,3.3,3.2
2017-18,2018,March,3,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-03-01,106403,102726,3148349,3.4,3.3
2018-19,2018,April,4,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-04-01,100245,99595,3319175,3,3
2018-19,2018,May,5,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-05-01,93497,89974,3177685,2.9,2.8
2018-19,2018,June,6,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-06-01,83688,80279,3188252,2.6,2.5
2018-19,2018,July,7,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-07-01,80341,76769,3334518,2.4,2.3
