fiscal_year,year,month,month_numeric,data_from_table,measure_type,portfolio_category,line_item,value,released_on,updated_on,data_source,data_url
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,discretionary,,48325,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,non_discretionary,,5165,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,advisory,,10984,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,listed_equity,14887.603399999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,unlisted_equity,1548.5666,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,plain_debt,482975.73850000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,structured_debt,870.5775,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,equity_derivative,125.0353,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,mutual_fund,3722.7927000000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,others,16691.1762,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
