fiscal_year,month,month_numeric,data_from_table,listed_only_on_bse_no_of_issues,listed_only_on_bse_amount_rs.crore,listed_only_on_nse_no_of_issues,listed_only_on_nse_amount_rs.crore,listed_both_on_nse_and_bse_no_of_issues,listed_both_on_nse_and_bse_amount_rs.crore,total_no_of_issues,total_amount_rs.crore,released_on,updated_on,data_source,data_url
2017-18,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,286,24656,36,10641,8,11170,330,46467,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,126,17805.03,29,19181.05,21,27930,176,64916.08,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,214,31695.54,42,18516.74,16,16187,272,66399.28,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,104,7114.98,15,1924.11,3,1500,122,10539.09,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,92,7838.36,33,11031.46,9,4863.5,134,23733.32,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,161,19076.66,48,11555.75,12,1319.4,221,31951.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,159,17721.12,48,11382.65,13,7812.3,220,36916.07,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,152,19543.6,45,10823.91,7,1434.2,204,31801.71,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,116,5589.39,31,11145.59,8,15159,155,31893.98,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,104,18366.16,34,16814.55,20,20034.1,158,55214.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
