fiscal_year,market_intermediaries,value,data_from_table,released_on,updated_on,data_source,data_url
2015-16,Depository Participants - CDSL,585,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Depository Participants - CDSL,588,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Depository Participants - CDSL,594,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Depository Participants - CDSL,597,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Depository Participants - CDSL,599,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Depository Participants - CDSL,615,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Depository Participants - CDSL,584,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Depository Participants - CDSL,588,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Depository Participants - CDSL,580,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Depository Participants - CDSL,574,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Merchant Bankers,197,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Merchant Bankers,197,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Merchant Bankers,189,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Merchant Bankers,189,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Merchant Bankers,195,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Merchant Bankers,205,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Merchant Bankers,215,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Merchant Bankers,215,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Merchant Bankers,219,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Merchant Bankers,218,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Merchant Bankers,220,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Merchant Bankers,230,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Bankers to an Issue,59,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Bankers to an Issue,60,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Bankers to an Issue,62,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Bankers to an Issue,64,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Bankers to an Issue,66,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Bankers to an Issue,65,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Bankers to an Issue,65,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Bankers to an Issue,65,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Bankers to an Issue,65,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Bankers to an Issue,55,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Bankers to an Issue,57,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Bankers to an Issue,60,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Underwriters,3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Underwriters,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Underwriters,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Underwriters,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Underwriters,1,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Underwriters,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Underwriters,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Underwriters,1,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Underwriters,1,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Underwriters,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Underwriters,25,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Underwriters,25,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Debenture Trustees,31,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Debenture Trustees,32,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Debenture Trustees,31,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Debenture Trustees,32,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Debenture Trustees,32,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Debenture Trustees,30,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Debenture Trustees,32,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Debenture Trustees,30,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Debenture Trustees,26,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Debenture Trustees,26,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Debenture Trustees,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Debenture Trustees,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Credit Rating Agencies,6,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Credit Rating Agencies,6,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Credit Rating Agencies,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Credit Rating Agencies,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Credit Rating Agencies,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Credit Rating Agencies,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Credit Rating Agencies,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Credit Rating Agencies,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Credit Rating Agencies,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Credit Rating Agencies,7,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Credit Rating Agencies,5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Credit Rating Agencies,5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,KYC Registration Agency (KRA),6,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,KYC Registration Agency (KRA),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Venture Capital Funds,207,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Venture Capital Funds,201,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Venture Capital Funds,200,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Venture Capital Funds,198,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Venture Capital Funds,195,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Venture Capital Funds,190,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Venture Capital Funds,189,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Venture Capital Funds,189,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Venture Capital Funds,157,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Venture Capital Funds,183,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Venture Capital Funds,167,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Venture Capital Funds,161,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Foreign Venture Capital Investors,192,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Foreign Venture Capital Investors,204,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Foreign Venture Capital Investors,215,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Foreign Venture Capital Investors,218,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Foreign Venture Capital Investors,232,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Foreign Venture Capital Investors,248,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Foreign Venture Capital Investors,251,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Foreign Venture Capital Investors,260,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Foreign Venture Capital Investors,279,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Foreign Venture Capital Investors,269,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Foreign Venture Capital Investors,279,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
