fiscal_year,month,month_numeric,data_from_table,upgraded_no,upgraded_amount_cr,downgraded_no,downgraded_amount_cr,reaffirmed_no,reaffirmed_amount_cr,rating_watch_no,rating_watch_amount_cr,withdrawn_suspended_no,withdrawn_suspended_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2017-18,October,10,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),13,2634.82,9,4099,285,823420.3499999999,8,3261.16,60,16107.68,375,849523.0099999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),38,41178.35,29,7297.240000000001,175,286338.7900000001,5,4843.4400000000005,66,12821.039999999999,313,352478.8600000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),37,6253.509999999999,20,10865.02,363,737062.6900000001,13,14884,73,26745.33,506,795810.55,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),21,6468.68,14,1850.7799999999997,210,885097.9399999998,36,39528.33,79,12427.169999999998,360,945372.8999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),17,18691.1,18,8480.55,192,685728.603,12,53750.240000000005,33,12639.92,272,779290.4130000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),45,8142.870000000001,46,24948.28,397,1271402.68,14,13175,106,14202.86,608,1331871.69,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),9,2028.28,28,4990.87,287,1260677.07,11,5592.45,63,50786.65,398,1324075.3199999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),44,18177.42,23,4642.73,517,1303857.96,36,5006.5,85,28222.29,705,1359906.9,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),63,24831.17,42,10508.24,905,2835838.16,7,3492.45,128,91865.06,1145,2966535.0800000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),7,752.4,45,10807.72,288,1742015.7,13,2167.4,42,116158.94,395,1871902.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
