fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_crore,debt_crore,debt_vrr_crore,debt_far,mf_aifs,hybrid_crore,total_crore
2019-20,2020,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-02-01,1820,2097,2637,,,2416,8970
2019-20,2020,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-03-01,-61973,-60376,4165,,,-19,-118203
2020-21,2020,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-04-01,-6884,-12552,4033,,,544,-14859
2020-21,2020,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-05-01,14569,-22935,1000,,,11,-7356
2020-21,2020,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-06-01,21832,-1545,3766,,,1957,26009
2020-21,2020,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-07-01,7563,-2476,-1786,,,1,3301
2020-21,2020,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-08-01,47080,-3310,2762,,,3347,49879
2020-21,2020,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-09-01,-7783,3958,406,,,2222,-1196
2020-21,2020,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-10-01,19541,1641,851,,,-207,21826
2020-21,2020,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-11-01,60358,-1806,4399,,,-169,62782
2020-21,2020,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-12-01,62016,4079,2463,,,2489,71046
2020-21,2021,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-01-01,19472.51,-2518.24,-2305.76,,,-17.3,14631.21
2020-21,2021,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-02-01,25786.76,-6488.42,4363.98,,,350.42,24012.74
2020-21,2021,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-03-01,10481.96,-6491.7,13313.78,,,-281.4,17022.64
2021-22,2021,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-04-01,-9659.14,-117.79,342.05,,,598.98,-8835.9
2021-22,2021,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-05-01,-2954.34,-1706.45,1993.52,,,709.47,-1957.8
